Year,SpUnit,Catch,HarvSOK,SpawnIndex,BiomassLower,BiomassMedian,BiomassUpper
1951,000,0,0,NA,NA,NA,NA
1951,001,0,0,NA,NA,NA,NA
1951,002,0,0,NA,NA,NA,NA
1951,003,0,0,NA,NA,NA,NA
1951,004,0,0,NA,NA,NA,NA
1951,005,0,0,NA,NA,NA,NA
1951,006,0,0,NA,NA,NA,NA
1951,011,0,0,NA,NA,NA,NA
1951,012,0,0,NA,NA,NA,NA
1951,021,2847.029,0,161.512,NA,NA,NA
1951,022,0,0,150.911,NA,NA,NA
1951,023,0,0,NA,NA,NA,NA
1951,024,0,0,NA,NA,NA,NA
1951,025,0,0,4051.226,NA,NA,NA
1952,000,0,0,NA,NA,NA,NA
1952,001,0,0,NA,NA,NA,NA
1952,002,0,0,NA,NA,NA,NA
1952,003,0,0,NA,NA,NA,NA
1952,004,0,0,NA,NA,NA,NA
1952,005,0,0,NA,NA,NA,NA
1952,006,0,0,NA,NA,NA,NA
1952,011,0,0,NA,NA,NA,NA
1952,012,0,0,NA,NA,NA,NA
1952,021,7390.396,0,1856.969,NA,NA,NA
1952,022,167.968,0,153.611,NA,NA,NA
1952,023,0,0,NA,NA,NA,NA
1952,024,2756.201,0,95.762,NA,NA,NA
1952,025,0,0,625.485,NA,NA,NA
1953,001,0,0,NA,NA,NA,NA
1953,002,0,0,NA,NA,NA,NA
1953,003,0,0,93.883,NA,NA,NA
1953,004,0,0,109.02,NA,NA,NA
1953,005,0,0,NA,NA,NA,NA
1953,006,0,0,NA,NA,NA,NA
1953,011,0,0,NA,NA,NA,NA
1953,012,0,0,NA,NA,NA,NA
1953,021,0,0,208.66,NA,NA,NA
1953,022,0,0,237.048,NA,NA,NA
1953,023,0,0,NA,NA,NA,NA
1953,024,0,0,203.923,NA,NA,NA
1953,025,0,0,7142.41,NA,NA,NA
1954,000,0,0,NA,NA,NA,NA
1954,001,0,0,NA,NA,NA,NA
1954,002,0,0,NA,NA,NA,NA
1954,003,0,0,NA,NA,NA,NA
1954,004,0,0,NA,NA,NA,NA
1954,005,0,0,NA,NA,NA,NA
1954,006,0,0,NA,NA,NA,NA
1954,011,0,0,NA,NA,NA,NA
1954,012,0,0,NA,NA,NA,NA
1954,021,1786.195,0,3970.466,NA,NA,NA
1954,022,24231.911,0,229.099,NA,NA,NA
1954,023,0,0,NA,NA,NA,NA
1954,024,0,0,2027.025,NA,NA,NA
1954,025,0,0,6410.373,NA,NA,NA
1955,000,0,0,NA,NA,NA,NA
1955,001,0,0,NA,NA,NA,NA
1955,002,0,0,NA,NA,NA,NA
1955,003,0,0,NA,NA,NA,NA
1955,004,0,0,NA,NA,NA,NA
1955,005,0,0,NA,NA,NA,NA
1955,006,0,0,NA,NA,NA,NA
1955,011,0,0,NA,NA,NA,NA
1955,012,0,0,NA,NA,NA,NA
1955,021,0,0,6199.036,NA,NA,NA
1955,022,19017.388,0,NA,NA,NA,NA
1955,023,0,0,NA,NA,NA,NA
1955,024,498.316,0,NA,NA,NA,NA
1955,025,0,0,238.016,NA,NA,NA
1956,000,0,0,NA,NA,NA,NA
1956,001,0,0,NA,NA,NA,NA
1956,002,0,0,NA,NA,NA,NA
1956,003,0,0,NA,NA,NA,NA
1956,004,0,0,NA,NA,NA,NA
1956,005,0,0,NA,NA,NA,NA
1956,006,0,0,NA,NA,NA,NA
1956,011,0,0,NA,NA,NA,NA
1956,012,94.966,0,NA,NA,NA,NA
1956,021,73544.626,0,60.508,NA,NA,NA
1956,022,5883.546,0,0.375,NA,NA,NA
1956,023,92.534,0,NA,NA,NA,NA
1956,024,0,0,NA,NA,NA,NA
1956,025,3824.075,0,5981.804,NA,NA,NA
1957,000,0,0,NA,NA,NA,NA
1957,001,0,0,NA,NA,NA,NA
1957,002,0,0,NA,NA,NA,NA
1957,003,105.834,0,3.82,NA,NA,NA
1957,004,0,0,NA,NA,NA,NA
1957,005,0,0,NA,NA,NA,NA
1957,006,464.123,0,NA,NA,NA,NA
1957,011,216.821,0,NA,NA,NA,NA
1957,012,0,0,NA,NA,NA,NA
1957,021,14657.676,0,1592.006,NA,NA,NA
1957,022,1157.07,0,4.771,NA,NA,NA
1957,023,0,0,NA,NA,NA,NA
1957,024,6680.748,0,NA,NA,NA,NA
1957,025,0,0,NA,NA,NA,NA
1958,000,0,0,NA,NA,NA,NA
1958,001,0,0,NA,NA,NA,NA
1958,002,0,0,NA,NA,NA,NA
1958,003,0,0,151.436,NA,NA,NA
1958,004,0,0,NA,NA,NA,NA
1958,005,0,0,5.442,NA,NA,NA
1958,006,0,0,NA,NA,NA,NA
1958,011,202.233,0,NA,NA,NA,NA
1958,012,28.259,0,NA,NA,NA,NA
1958,021,274.428,0,670.568,NA,NA,NA
1958,022,0,0,14.597,NA,NA,NA
1958,023,0,0,NA,NA,NA,NA
1958,024,10872.892,0,NA,NA,NA,NA
1958,025,0,0,143.964,NA,NA,NA
1959,000,0,0,NA,NA,NA,NA
1959,001,0,0,123.96,NA,NA,NA
1959,002,0,0,211.732,NA,NA,NA
1959,003,0,0,1270.395,NA,NA,NA
1959,004,0,0,NA,NA,NA,NA
1959,005,0,0,309.878,NA,NA,NA
1959,006,0,0,638.216,NA,NA,NA
1959,011,0,0,NA,NA,NA,NA
1959,012,0,0,NA,NA,NA,NA
1959,021,6553.413,0,490.64,NA,NA,NA
1959,022,10544.004,0,122.854,NA,NA,NA
1959,023,0,0,NA,NA,NA,NA
1959,024,274.99,0,1288.352,NA,NA,NA
1959,025,0,0,6564.061,NA,NA,NA
1960,000,0,0,NA,NA,NA,NA
1960,001,0,0,7.935,NA,NA,NA
1960,002,0,0,396.844,NA,NA,NA
1960,003,0,0,1127.742,NA,NA,NA
1960,004,0,0,NA,NA,NA,NA
1960,005,0,0,36.749,NA,NA,NA
1960,006,0,0,2163.264,NA,NA,NA
1960,011,0,0,NA,NA,NA,NA
1960,012,0,0,NA,NA,NA,NA
1960,021,0,0,2415.37,NA,NA,NA
1960,022,3102.824,0,104.53,NA,NA,NA
1960,023,0,0,NA,NA,NA,NA
1960,024,0,0,119.963,NA,NA,NA
1960,025,0,0,1900.186,NA,NA,NA
1961,000,0,0,NA,NA,NA,NA
1961,001,0,0,67.153,NA,NA,NA
1961,002,0,0,134.636,NA,NA,NA
1961,003,0,0,283.107,NA,NA,NA
1961,004,0,0,NA,NA,NA,NA
1961,005,0,0,73.595,NA,NA,NA
1961,006,0,0,1176.409,NA,NA,NA
1961,011,0,0,NA,NA,NA,NA
1961,012,0,0,NA,NA,NA,NA
1961,021,576.426,0,3212.16,NA,NA,NA
1961,022,1956.649,0,981.853,NA,NA,NA
1961,023,0,0,NA,NA,NA,NA
1961,024,0,0,NA,NA,NA,NA
1961,025,0,0,4592.872,NA,NA,NA
1962,000,0,0,NA,NA,NA,NA
1962,001,0,0,31.77,NA,NA,NA
1962,002,0,0,835.268,NA,NA,NA
1962,003,0,0,785.038,NA,NA,NA
1962,004,0,0,NA,NA,NA,NA
1962,005,0,0,63.236,NA,NA,NA
1962,006,0,0,547.042,NA,NA,NA
1962,011,0,0,NA,NA,NA,NA
1962,012,0,0,NA,NA,NA,NA
1962,021,3155.622,0,1208.75,NA,NA,NA
1962,022,6993.305,0,163.705,NA,NA,NA
1962,023,0,0,NA,NA,NA,NA
1962,024,0,0,37.588,NA,NA,NA
1962,025,4476.696,0,3936.85,NA,NA,NA
1963,000,0,0,NA,NA,NA,NA
1963,001,0,0,NA,NA,NA,NA
1963,002,0,0,1436.265,NA,NA,NA
1963,003,0,0,NA,NA,NA,NA
1963,004,0,0,NA,NA,NA,NA
1963,005,0,0,NA,NA,NA,NA
1963,006,0,0,NA,NA,NA,NA
1963,011,0,0,NA,NA,NA,NA
1963,012,0,0,NA,NA,NA,NA
1963,021,0,0,68.639,NA,NA,NA
1963,022,2640.714,0,43.18,NA,NA,NA
1963,023,0,0,NA,NA,NA,NA
1963,024,0,0,12.552,NA,NA,NA
1963,025,14704.95,0,7215.867,NA,NA,NA
1964,000,0,0,NA,NA,NA,NA
1964,001,312.485,0,6.75,NA,NA,NA
